RAT,Popularity,BS,IGS,PAC,SHO,Price_num
97,4604,560,2691,97,90,397750.0
97,1134,542,2620,97,93,60000.0
97,1769,571,2726,93,94,942000.0
97,740,520,2507,96,94,170000.0
97,1081,523,2528,99,94,310000.0
97,992,536,2588,96,97,1010000.0
97,3249,567,2672,97,92,330250.0
97,814,531,1056,95,98,24000.0
97,1014,558,2711,91,85,180000.0
97,2774,569,2752,93,94,390850.0
97,865,568,2745,95,95,29500.0
97,1329,544,2625,97,96,170000.0
97,-1107,545,2671,94,92,132700.0
97,934,520,2466,99,94,315650.0
97,478,564,2671,92,90,24250.0
97,805,522,2484,95,72,92500.0
97,-121,535,2594,96,96,192450.0
97,-167,553,1384,98,95,108450.0
97,-175,542,2601,94,96,174500.0
97,406,522,2515,99,94,90850.0
97,274,555,2598,99,93,90850.0
97,-976,550,2640,93,77,63250.0
97,-955,537,2531,99,96,118550.0
97,241,518,2409,94,50,139550.0
97,-446,566,2682,95,89,139550.0
96,4365,489,2341,97,95,1090000.0
96,2187,529,2548,85,92,296000.0
96,1318,510,2475,96,94,1420000.0
96,3347,522,1002,90,95,150000.0
96,604,507,2400,88,65,550000.0
96,3860,533,2602,85,86,147000.0
96,3456,514,2418,96,96,260000.0
96,1314,515,2469,96,95,88500.0
96,2658,496,2295,88,48,53500.0
96,2049,538,2585,86,80,25000.0
96,1704,512,2391,90,68,74500.0
96,7828,494,2399,94,98,290000.0
96,2274,494,2425,95,93,285000.0
96,1678,513,2447,98,91,90000.0
96,1287,555,2656,91,88,32500.0
96,1587,530,2533,98,95,30000.0
96,620,545,2612,93,96,17000.0
96,1309,508,2455,98,95,19750.0
96,814,513,2485,97,92,91500.0
96,579,513,2485,97,92,80000.0
96,1269,549,2606,91,81,72000.0
96,-985,540,2553,90,81,509000.0
96,675,556,2698,91,87,26250.0
96,915,541,2595,94,91,54000.0
96,286,554,2625,91,91,180000.0
96,3120,510,2441,96,97,574150.0
96,809,503,2325,94,45,216000.0
96,2162,500,2444,99,92,371650.0
96,815,553,2615,91,88,88500.0
96,1026,548,2679,96,94,109000.0
96,1589,522,2473,96,96,199200.0
96,2602,484,2204,91,42,136100.0
96,1610,509,2334,94,56,422500.0
96,694,547,2591,96,80,96500.0
96,662,526,2522,97,92,66500.0
96,-225,520,2486,94,91,154650.0
96,-2099,513,2508,98,99,880850.0
96,743,555,2626,99,89,26500.0
96,495,558,2653,92,90,23500.0
96,631,530,2578,91,94,26000.0
96,841,532,2581,97,96,50000.0
96,1666,528,2561,95,95,135850.0
96,2124,514,2492,96,96,105700.0
96,1051,519,2399,94,64,41000.0
96,729,505,2461,97,94,24750.0
96,262,527,2516,96,97,25750.0
96,209,557,2678,97,85,29750.0
96,372,525,2452,95,94,42500.0
96,408,533,2565,98,97,25000.0
96,169,526,2531,98,98,22000.0
96,-763,535,2533,93,70,655100.0
96,-347,549,2577,99,96,128350.0
96,116,570,2697,94,92,78450.0
95,2314,505,2452,96,93,400000.0
95,1277,487,2325,95,94,1390000.0
95,-1057,546,2587,88,88,110000.0
95,4394,495,2369,94,91,1900000.0
95,1629,476,2326,89,95,70500.0
95,3041,498,2434,89,97,145000.0
95,1752,489,2367,89,95,20000.0
95,1094,472,2233,84,51,42500.0
95,887,512,2473,84,82,51000.0
95,1489,477,2333,88,96,19750.0
95,1295,520,2479,89,86,69500.0
95,2058,525,2550,93,93,21000.0
95,2070,526,2525,99,95,188000.0
95,3620,515,2483,90,98,29000.0
95,1355,536,2538,97,91,20750.0
95,878,505,2431,96,90,35000.0
95,1778,546,2584,90,90,19750.0
95,573,509,2400,91,61,150000.0
95,1490,535,2523,92,83,44250.0
95,1877,498,2364,99,90,360000.0
95,1266,523,2514,96,92,19000.0
95,1187,507,2365,90,64,25750.0
95,1174,550,2666,90,88,32500.0
95,1040,518,2509,95,95,32000.0
95,1013,502,2475,92,95,48250.0
95,6343,547,2589,87,87,229750.0
95,950,518,2474,99,90,18500.0
95,3731,541,2593,95,83,161750.0
95,2024,545,2604,95,92,349800.0
95,1572,500,2415,95,97,31000.0
95,2235,556,2668,91,87,24750.0
95,1316,534,2541,93,96,20500.0
95,834,532,2541,86,80,30500.0
95,663,536,2566,93,90,27000.0
95,1011,551,2641,88,85,29500.0
95,628,553,2651,93,87,28000.0
95,677,504,2417,95,96,25000.0
95,3900,529,2511,94,96,19750.0
95,680,550,2563,96,81,54000.0
95,308,500,2304,91,60,1670000.0
95,530,556,2679,93,86,30500.0
95,201,516,2455,98,92,82250.0
95,2480,522,2519,93,92,103650.0
95,783,489,2392,97,92,24500.0
95,599,547,2564,96,82,35000.0
95,881,524,2537,94,98,22500.0
95,1654,524,2544,92,99,180750.0
95,512,561,2695,93,91,24000.0
95,665,511,2417,92,60,40000.0
95,639,549,2616,97,92,19500.0
95,866,557,2674,93,90,19750.0
95,-203,530,2545,97,94,47600.0
95,72,560,2690,93,89,46700.0
95,293,506,2456,96,95,19500.0
95,287,532,2570,95,96,21000.0
95,396,532,2548,91,67,20000.0
95,657,549,2586,99,80,85050.0
95,2253,564,2670,95,92,221150.0
94,2882,492,2396,91,96,108000.0
94,1783,510,1320,95,89,289000.0
94,1502,476,2301,90,87,150000.0
94,2137,465,2140,86,56,219000.0
94,2968,486,2328,92,90,1400000.0
94,4078,485,2321,93,93,630000.0
94,3499,512,2474,82,90,209000.0
94,1723,482,2351,81,94,70000.0
94,2027,474,2337,85,92,421000.0
94,1224,493,2338,99,92,2230000.0
94,1592,501,2362,90,60,106000.0
94,3052,536,2514,98,80,140000.0
94,2268,519,2528,91,88,80500.0
94,1270,455,2096,80,46,120000.0
94,4070,519,2518,92,92,25000.0
94,1788,499,2409,94,92,89500.0
94,1410,533,2585,90,90,73000.0
94,1687,513,2492,89,93,74000.0
94,737,507,2444,79,91,41000.0
94,1446,484,2359,88,94,18000.0
94,1839,488,2341,95,92,19250.0
94,806,524,2522,82,93,25500.0
94,797,464,2262,93,92,18500.0
94,1365,476,2321,92,94,37500.0
94,766,528,2526,85,93,30000.0
94,1983,515,2453,84,80,27000.0
94,1838,493,2356,93,95,23750.0
94,1783,491,2258,90,58,23000.0
94,690,509,2409,94,95,18500.0
94,537,535,2560,86,83,24250.0
94,2681,505,2383,99,89,27000.0
94,1852,534,2620,95,92,20000.0
94,1412,517,1092,92,91,29000.0
94,433,516,2480,95,94,18500.0
94,1179,504,2465,92,94,26500.0
94,905,498,2329,88,55,29000.0
94,2595,509,2411,95,95,29750.0
94,1482,536,2603,90,78,18000.0
94,1474,540,2531,99,80,37250.0
94,1141,551,2604,90,90,30000.0
94,1466,485,2236,90,60,28000.0
94,-2780,512,2432,93,90,632650.0
94,748,527,2520,93,94,18500.0
94,186,515,2479,96,91,19750.0
94,-1506,494,2360,94,89,300350.0
94,1372,533,2508,98,93,22500.0
94,1128,505,2364,91,70,17750.0
94,574,525,2532,88,70,18500.0
94,6640,550,2656,90,89,196050.0
94,4786,523,2489,95,93,194100.0
94,1058,526,2513,97,92,220450.0
94,2760,527,2521,94,96,31250.0
94,721,528,2538,94,90,30000.0
94,6128,535,2588,92,95,96250.0
94,149,535,2552,95,94,507800.0
94,505,539,2541,98,82,27500.0
94,1032,530,2540,94,88,20000.0
94,1398,536,2563,95,91,183900.0
94,2307,551,2628,92,88,138850.0
94,422,514,2504,91,95,30000.0
94,1108,504,2452,97,94,452400.0
94,1294,544,2617,90,92,300050.0
94,412,541,2529,92,82,269000.0
94,210,530,2506,98,89,290000.0
94,1187,531,2582,94,96,263200.0
94,442,547,2586,95,88,24250.0
94,-451,555,2674,93,92,75700.0
94,-404,502,2436,96,95,55200.0
93,3550,500,2324,90,66,150000.0
93,1859,510,2476,89,93,121000.0
93,2187,491,2398,94,94,110000.0
93,-81,444,2131,70,49,70500.0
93,1472,491,2370,93,91,79500.0
93,688,525,2544,89,89,100000.0
93,244,456,2231,83,94,110000.0
93,2372,529,2566,86,91,490000.0
93,1724,491,2332,94,91,120000.0
93,1718,493,2391,81,80,111000.0
93,-691,486,2306,98,91,1270000.0
93,738,474,2295,90,87,320000.0
93,-54,496,2378,93,92,59500.0
93,1513,506,2382,90,66,68000.0
93,2030,505,2466,82,84,112000.0
93,7074,486,2363,93,94,674600.0
93,14473,524,2555,91,93,114250.0
93,4016,492,2366,94,88,705200.0
93,536,499,2407,77,90,42500.0
93,1133,491,2390,95,87,29750.0
93,750,495,2372,93,92,35000.0
93,1341,473,2216,85,44,26250.0
93,69,480,2345,88,97,18750.0
93,-20579,487,2310,98,91,4860000.0
93,2980,488,2370,90,92,863000.0
93,2238,485,2324,92,88,137000.0
93,772,473,2289,90,90,83000.0
93,7442,518,2462,83,74,216800.0
93,827,468,2270,90,90,34000.0
93,1641,522,1359,94,91,22500.0
93,3719,469,2291,85,84,127250.0
93,899,523,2452,85,82,77000.0
93,1369,492,2331,82,71,18500.0
93,2769,485,2358,90,93,270350.0
93,2071,537,2567,95,90,25000.0
93,2752,481,2347,98,89,32250.0
93,1317,503,2421,94,92,19250.0
93,2190,537,2548,85,85,22000.0
93,2780,528,2506,96,90,27500.0
93,2001,522,2457,98,87,22500.0
93,202,471,2272,83,92,55000.0
93,3442,516,2482,95,90,332200.0
93,483,505,2429,86,90,17750.0
93,-766,498,2366,94,91,211600.0
93,1344,522,2520,91,95,27750.0
93,1188,490,2242,92,53,19000.0
93,1331,542,2549,94,85,19750.0
93,832,539,2545,87,82,21250.0
93,2093,517,2391,96,65,29250.0
93,1384,542,2536,95,87,15000.0
93,424,515,2482,94,90,20000.0
93,158,536,945,89,95,29000.0
93,1535,536,2528,98,83,23750.0
93,831,520,2486,99,91,27500.0
93,1088,519,2462,93,72,72000.0
93,461,509,980,94,90,29750.0
93,1877,506,2461,93,90,15000.0
93,892,485,2242,90,60,17000.0
93,241,501,2352,93,94,17750.0
93,-1865,524,2466,99,92,575200.0
93,2824,522,2530,90,93,510100.0
93,223,522,2516,99,94,14000.0
93,951,523,2465,90,74,59350.0
93,5109,549,2644,90,87,140900.0
93,1879,538,2513,98,80,16000.0
93,991,523,2503,88,80,15000.0
93,630,515,2482,86,75,16750.0
93,-217,522,2509,90,75,91850.0
93,1541,551,2631,91,88,102250.0
93,3366,523,2544,89,76,52800.0
93,409,509,2457,95,93,19500.0
93,414,526,2527,95,91,25000.0
93,682,540,2562,95,80,28000.0
93,-609,519,2457,87,80,48450.0
93,497,527,2497,90,77,27950.0
93,51,555,2643,94,91,690000.0
93,332,535,2518,99,79,190000.0
93,176,481,2291,90,93,27500.0
93,401,492,2365,98,91,38000.0
93,-651,487,2295,90,50,50600.0
93,-442,540,2570,94,91,161950.0
93,246,511,2468,93,95,158700.0
93,1889,524,2430,95,74,67000.0
93,-949,506,2424,99,92,58800.0
93,-149,543,2580,90,81,30900.0
92,410,466,2265,83,92,87000.0
92,86,426,1939,72,42,86000.0
92,323,477,2347,73,80,76000.0
92,-243,471,2318,68,64,93000.0
92,612,501,2464,80,87,74000.0
92,292,466,2272,84,91,88000.0
92,1775,465,2245,94,90,90000.0
92,651,434,2065,80,43,140000.0
92,2686,489,2373,89,95,83000.0
92,-109,450,2161,88,91,94000.0
92,1286,499,2407,92,93,130000.0
92,574,476,2312,92,93,115000.0
92,567,493,2312,86,63,84500.0
92,362,463,2271,90,92,79500.0
92,981,482,2283,92,88,72500.0
92,1208,470,2275,90,86,110000.0
92,1995,456,2115,82,56,92500.0
92,325,500,1300,92,87,125000.0
92,756,474,2297,88,92,120000.0
92,1810,489,2358,95,93,80000.0
92,743,455,2237,84,93,79000.0
92,1103,491,2374,75,89,30000.0
92,944,486,2337,93,87,42500.0
92,4567,458,2262,82,90,743100.0
92,2,478,2263,98,90,400000.0
92,-2868,466,2279,77,92,324550.0
92,1122,496,2348,91,58,22300.0
92,2064,515,2442,94,87,69500.0
92,519,483,2322,93,87,100000.0
92,833,471,2197,83,61,340000.0
92,847,516,2505,88,87,797000.0
92,218,513,1355,93,89,110000.0
92,1967,518,2493,83,89,75000.0
92,2282,482,2232,85,52,99000.0
92,2164,499,937,87,91,86000.0
92,-8488,478,2265,98,90,2120000.0
92,982,493,2407,86,95,35000.0
92,11311,513,2480,80,83,411750.0
92,2242,498,2398,90,91,14500.0
92,1431,501,2359,87,84,28000.0
92,962,526,2495,85,87,20250.0
92,2829,528,2571,85,85,24000.0
92,1025,526,2552,86,78,56500.0
92,1264,460,2267,83,90,229000.0
92,3671,485,2301,95,91,14000.0
92,1867,514,2468,93,91,75000.0
92,322,484,2341,68,77,29750.0
92,1651,506,2424,92,90,14000.0
92,616,487,2347,88,94,37500.0
92,1326,518,2535,80,89,125000.0
92,582,470,2266,87,93,125000.0
92,3445,461,2274,84,94,106000.0
92,-5836,503,2381,81,76,905050.0
92,1518,476,2238,99,87,199000.0
92,937,517,2497,81,87,120000.0
92,1516,504,2431,90,93,65000.0
92,1814,456,2120,84,53,70000.0
92,398,463,2235,81,90,42500.0
92,1807,502,2423,88,73,18250.0
92,1509,515,2489,93,84,21500.0
92,989,455,2129,85,50,20250.0
92,1187,503,2425,92,95,13000.0
92,7039,491,2300,94,92,175700.0
92,-7087,527,2519,87,88,629900.0
92,503,506,2414,90,93,17000.0
92,2867,486,2251,88,60,393500.0
92,1185,533,2567,88,81,17000.0
92,921,511,2502,90,73,30000.0
92,396,504,2409,90,87,25000.0
92,1916,489,2233,87,53,18000.0
92,705,528,2556,91,82,30000.0
92,3689,501,2401,92,90,201900.0
92,458,503,2412,95,86,15500.0
92,829,486,2300,96,90,21500.0
92,3268,516,1081,91,90,83800.0
92,3950,480,2259,86,56,249600.0
92,608,509,933,93,91,16000.0
92,2151,529,2467,99,75,17000.0
92,1212,527,2472,99,76,19000.0
92,501,495,2378,87,94,19000.0
92,1504,495,2349,95,90,18250.0
92,704,529,2547,93,90,55650.0
92,-1445,513,2440,98,88,403700.0
92,600,531,2484,92,90,17250.0
92,706,532,2498,95,82,17000.0
92,215,517,2434,94,66,16250.0
92,427,495,2389,95,90,21500.0
92,1314,535,2492,88,82,17000.0
92,738,518,2418,90,66,15750.0
92,1026,549,2614,93,90,32250.0
92,2274,498,2349,97,92,59050.0
92,262,521,2505,95,91,19000.0
92,-371,501,2430,92,94,17000.0
92,161,534,2578,87,88,169600.0
92,2341,538,2577,87,90,216850.0
92,1678,499,2390,93,94,170350.0
92,993,538,2582,90,85,17750.0
92,1002,468,2153,92,48,18000.0
92,849,529,2505,97,78,21750.0
92,1095,499,2381,92,90,345750.0
92,244,532,2555,99,75,17750.0
92,209,527,2523,90,90,20000.0
92,-655,533,2552,83,89,136500.0
92,218,538,2570,98,88,19000.0
92,1506,530,2534,90,85,45050.0
92,445,539,2556,97,80,28000.0
92,330,534,2534,94,76,16250.0
92,190,526,2536,92,70,13000.0
92,435,526,2536,92,70,14000.0
92,454,543,2573,93,82,18500.0
92,408,535,2575,94,85,16500.0
92,-218,522,2501,93,90,15500.0
92,178,516,2445,99,89,14000.0
92,-78,522,2478,88,76,19000.0
92,1014,550,2406,92,90,26700.0
92,703,514,2440,94,88,81150.0
92,33,505,2414,91,91,23000.0
92,274,538,2590,89,86,95000.0
92,146,509,2491,91,85,27500.0
92,-85,530,2529,90,89,39200.0
92,153,493,2378,93,90,143300.0
92,385,540,2564,97,87,23500.0
91,512,448,2185,88,92,79000.0
91,613,509,2479,76,86,119000.0
91,284,495,2392,80,87,70000.0
91,1923,490,2383,94,89,455000.0
91,867,480,917,85,90,88000.0
91,2478,480,2345,93,93,99000.0
91,51,467,2292,73,68,85500.0
91,2054,473,2264,93,90,70000.0
91,-58,435,2099,69,48,70000.0
91,87,462,2226,86,92,108000.0
91,5676,474,2289,91,89,210000.0
91,-33,444,2194,70,87,115000.0
91,4051,474,2264,91,86,140000.0
91,319,474,2258,79,69,71000.0
91,707,498,1295,93,85,94000.0
91,1872,505,2448,87,84,89000.0
91,1643,448,2081,83,52,104000.0
91,114,443,2171,79,92,69000.0
91,606,509,2439,81,90,86500.0
91,5,448,2164,85,79,129000.0
91,143,438,2129,90,89,72000.0
91,201,456,2206,88,88,70500.0
91,-26,460,2227,86,88,69500.0
91,1524,511,2395,83,80,84500.0
91,-219,476,2341,72,87,130000.0
91,954,496,2401,87,72,99000.0
91,-110,451,2177,88,82,86000.0
91,938,447,2171,88,82,130000.0
91,1580,512,2472,92,83,120000.0
91,71,508,2497,75,88,98000.0
91,2921,472,2261,91,86,410000.0
91,690,484,2339,84,90,85000.0
91,430,503,2414,77,90,80000.0
91,1628,505,2427,84,86,199000.0
91,874,476,2308,85,94,70000.0
91,2526,496,2389,89,92,85500.0
91,3031,495,2389,90,94,35000.0
91,3486,489,2372,91,94,16250.0
91,3787,455,2196,80,88,25000.0
91,2405,470,2223,97,89,70000.0
91,2272,483,2336,74,88,25000.0
91,3604,452,2232,81,89,67000.0
91,610,479,2295,91,90,32500.0
91,2803,485,2277,92,94,77500.0
91,2112,470,2277,93,90,30000.0
91,1255,475,2316,93,87,15000.0
91,1344,464,2247,93,89,27250.0
91,558,506,1353,92,88,70500.0
91,953,490,2360,93,92,549000.0
91,395,429,2028,75,45,179950.0
91,781,461,2263,89,91,95000.0
91,2084,470,2202,96,85,71500.0
91,3398,495,2386,91,92,710300.0
91,919,481,2327,84,93,78000.0
91,1607,493,2365,76,78,59000.0
91,5510,499,2386,80,85,296650.0
91,1222,513,2490,78,80,30000.0
91,1804,462,2267,90,87,344000.0
91,354,476,2305,66,76,25000.0
91,5435,490,2400,83,72,698850.0
91,1365,451,2034,85,37,35000.0
91,1254,471,2213,99,86,183000.0
91,1327,507,2402,88,80,45000.0
91,3777,453,2235,83,93,110000.0
91,1200,507,2451,88,87,14750.0
91,12878,485,2278,99,85,89100.0
91,1391,502,2344,96,84,27000.0
91,2124,490,2351,94,90,28000.0
91,1359,509,2393,97,90,14000.0
91,1998,527,2548,93,91,15750.0
91,1176,517,2464,84,76,19000.0
91,1484,487,2338,90,88,19000.0
91,1082,528,2462,94,85,30000.0
91,1081,499,2400,94,90,17750.0
91,834,485,2347,92,88,15000.0
91,942,469,2282,91,87,26500.0
91,959,523,2492,90,93,30000.0
91,2037,482,2302,87,93,133650.0
91,797,482,2302,87,93,133650.0
91,896,478,2243,82,59,32500.0
91,-986,509,2399,88,79,398000.0
91,267,474,2291,87,84,107000.0
91,973,472,2254,90,91,28500.0
91,1004,524,2486,83,83,27000.0
91,1302,502,2384,85,74,42500.0
91,1459,512,2418,86,78,15000.0
91,1604,516,2381,90,71,17000.0
91,781,507,2398,96,91,16500.0
91,2236,494,2350,86,62,30000.0
91,1719,499,2407,92,94,88700.0
91,2020,477,2243,96,87,689200.0
91,904,520,2458,90,79,17000.0
91,160,524,917,91,90,17000.0
91,280,502,2377,93,90,18750.0
91,-905,487,2286,92,94,432600.0
91,939,491,2370,95,91,19000.0
91,1368,469,2111,91,41,15500.0
91,786,489,2363,98,90,17000.0
91,2901,530,2547,88,87,161300.0
91,320,497,2376,90,90,14250.0
91,0,479,2316,90,93,20000.0
91,5092,493,2294,89,56,628600.0
91,316,481,2216,87,57,19500.0
91,772,502,2418,95,89,18000.0
91,717,475,2302,92,90,18000.0
91,2229,532,2575,87,88,197950.0
91,971,532,2535,99,84,15500.0
91,158,528,2501,95,81,37950.0
91,174,485,2286,85,66,20750.0
91,322,507,2381,94,90,19000.0
91,811,526,2488,85,80,38750.0
91,3809,536,2522,87,88,123500.0
91,37,506,2341,92,66,20000.0
91,64,519,2455,91,90,19000.0
91,-2455,494,2359,93,89,95800.0
91,396,498,2387,90,91,27750.0
91,190,541,2602,95,87,73050.0
91,25,518,2460,92,93,14500.0
91,-93,499,2416,94,88,23500.0
91,-36,502,2358,89,57,28000.0
91,391,530,2503,93,80,22200.0
91,570,500,2372,97,91,75000.0
91,140,501,2406,95,90,32500.0
91,112,513,2462,92,92,25250.0
91,-97,496,2369,96,91,47400.0
91,161,533,2587,87,82,33600.0
90,1086,463,2235,85,90,70000.0
90,113,416,1902,71,41,71000.0
90,723,470,2311,75,79,110000.0
90,622,425,2010,72,45,110000.0
90,972,487,2266,90,63,100000.0
90,622,465,2142,80,50,115000.0
90,517,453,2186,85,89,70500.0
90,1938,464,2244,92,88,69500.0
90,305,492,2356,77,79,75000.0
90,2092,499,2440,85,90,115000.0
90,95,490,2361,74,90,105000.0
90,282,493,2318,77,76,70500.0
90,4871,483,2347,90,90,78000.0
90,1269,489,2359,90,90,94000.0
90,180,498,2409,76,85,108000.0
90,1674,458,2251,87,90,90000.0
90,804,473,2245,90,86,68000.0
90,259,461,2248,92,88,100000.0
90,1311,462,2225,90,83,110000.0
90,1247,504,2377,85,76,70000.0
90,1770,438,2068,78,50,125000.0
90,372,487,1242,89,84,80000.0
90,934,441,2052,83,49,80500.0
90,523,472,2290,85,90,84000.0
90,1587,466,2200,94,90,450000.0
90,32,485,2327,72,71,130000.0
90,50,466,2257,86,81,70000.0
90,2488,518,2488,88,88,220000.0
90,15,442,2127,82,88,130000.0
90,2578,486,2351,91,91,91500.0
90,1243,478,2278,90,88,81000.0
90,583,470,2288,77,74,68000.0
90,1837,460,2250,85,94,21000.0
90,2592,493,2343,83,73,54500.0
90,4914,483,2321,93,89,120000.0
90,1630,471,2256,90,89,24750.0
90,4586,461,2149,81,60,16000.0
90,7263,445,2196,81,92,75000.0
90,1381,473,973,84,89,23000.0
90,794,501,1160,87,88,19500.0
90,790,464,2216,89,90,32500.0
90,1895,471,2307,87,90,37750.0
90,1140,474,2200,82,65,29500.0
90,3221,454,2230,88,85,96500.0
90,2330,451,2148,90,88,32500.0
90,1095,468,2263,65,75,22000.0
90,753,470,2257,91,85,20000.0
90,1018,441,1972,84,36,30000.0
90,1225,463,2172,98,85,189000.0
90,1751,506,2408,86,74,35000.0
90,3657,505,2367,84,78,46950.0
90,4094,455,2172,89,85,633500.0
90,379,460,2253,57,83,34000.0
90,889,437,2068,75,52,35000.0
90,906,473,2280,86,92,172100.0
90,1609,472,2292,84,93,316550.0
90,1534,472,2263,88,91,150000.0
90,477,453,2201,86,88,34000.0
90,3402,505,2462,75,85,300050.0
90,650,508,2450,91,82,310000.0
90,353,446,2180,86,91,52000.0
90,892,475,2261,80,69,68500.0
90,694,496,2432,80,89,70000.0
90,262,448,2141,89,90,55000.0
90,577,482,2290,88,85,223000.0
90,21437,486,2367,90,86,115350.0
90,1115,461,2203,87,83,34250.0
90,3012,504,2409,90,72,29500.0
90,-41,461,2269,70,92,26000.0
90,6803,517,2512,81,86,621400.0
90,1637,498,2356,86,77,28750.0
90,-3046,497,2382,90,88,537850.0
90,91,445,2196,81,92,70000.0
90,2516,477,2251,94,86,14750.0
90,905,497,2368,91,86,310250.0
90,3001,507,2440,88,91,310250.0
90,1042,525,2536,86,84,30000.0
90,2691,476,2248,93,84,27500.0
90,1587,471,2175,86,57,28000.0
90,-1419,470,2208,92,83,313500.0
90,3090,481,2292,90,89,371900.0
90,1265,445,2033,83,45,28000.0
90,1603,476,2187,86,50,24000.0
90,759,494,2316,83,68,23750.0
90,1196,516,2475,92,81,15500.0
90,3149,493,2363,83,73,132900.0
90,1846,517,2440,83,86,18500.0
90,272,517,2475,84,87,325800.0
90,1434,521,2506,86,79,14750.0
90,2291,469,2135,87,51,30000.0
90,939,516,2447,92,77,19000.0
90,1306,513,2417,96,86,27000.0
90,1302,487,2360,93,93,37250.0
90,-343,487,2337,99,88,28500.0
90,2980,496,2375,95,87,63100.0
90,837,510,1219,88,83,33400.0
90,997,515,2486,90,78,29750.0
90,692,515,2486,90,78,30000.0
90,2270,484,2279,84,63,29000.0
90,704,491,2320,91,88,111000.0
90,511,477,2236,91,93,65000.0
90,108,481,2343,70,73,35000.0
90,1022,524,2494,84,86,85000.0
90,2771,469,2245,90,87,136000.0
90,641,521,2496,87,81,24250.0
90,808,494,1020,92,86,28250.0
90,1352,491,2342,92,88,15250.0
90,260,491,2369,82,79,30000.0
90,9518,485,2286,84,66,86400.0
90,566,457,2090,85,38,317350.0
90,322,474,2257,88,91,30000.0
90,639,528,2469,96,85,17500.0
90,152,500,2362,90,90,34750.0
90,613,489,1062,91,84,29000.0
90,397,527,2547,93,85,18500.0
90,3258,486,2304,96,88,53450.0
90,1992,485,2276,97,86,55450.0
90,81,488,2362,82,88,29000.0
90,248,519,2428,96,75,22500.0
90,123,517,2548,86,80,22500.0
90,2333,473,2216,96,86,91200.0
90,-120,510,2440,85,87,23000.0
90,766,490,2267,86,64,17500.0
90,-163,520,2478,90,87,34900.0
90,94,499,2379,87,92,18750.0
90,143,488,2285,84,50,23750.0
90,120,519,2482,93,76,20000.0
90,19,496,2375,90,91,21250.0
90,1268,490,2332,85,63,37200.0
90,9,510,2442,85,79,20950.0
90,222,500,2368,95,88,27650.0
90,134,511,2362,93,73,21050.0
90,98,527,2525,91,86,27650.0
90,-151,517,2454,85,76,20000.0
90,187,520,2514,87,86,25150.0
90,155,522,2497,87,81,18000.0
90,597,491,2324,98,85,122650.0
90,65,486,2293,98,86,18500.0
90,347,469,2291,95,88,39750.0
90,222,480,2246,86,60,20000.0
90,52,464,2196,75,91,35000.0
90,291,478,2284,89,91,40000.0
90,-145,494,2392,89,91,19000.0
90,129,523,2529,97,91,18000.0
90,65,498,901,90,88,19750.0
90,83,494,2338,85,64,16750.0
90,159,491,2279,89,60,30000.0
89,-126,459,2237,84,90,74000.0
89,328,490,2353,89,67,125000.0
89,300,493,2427,68,83,69500.0
89,-256,456,2264,66,60,100000.0
89,1032,491,2405,80,85,99000.0
