,Name,RAT,VER,Price,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Weight,Height,Pos,AttackWorkRate,DefenseWorkRate
52,Karim Benzema,97,TOTS  Lengthy,258K,5,4,93,96,89,93,45,94,783,510,2455,81.0,185,CF,H,M
53,Luka Modric,97,TOTS  Explosive,26.75K,4,5,87,87,99,99,86,84,2629,542,2643,66.0,172,CM,H,M
54,Kylian Mbappé,97,TOTS  Controlled,1.62M,5,4,99,97,87,99,43,85,1525,510,2440,73.0,182,ST,H,L
55,Rafael Leão,97,TOTS  Controlled,170K,5,4,99,93,89,98,40,91,1793,510,2409,81.0,188,LW,M,L
56,Victor Osimhen,97,TOTS  Controlled,30.5K,4,5,99,97,82,94,55,95,1506,522,2461,78.0,185,ST,H,M
57,Toni Kroos,97,Shapeshifters Obj  Controlled,0,5,5,90,87,96,93,92,90,6055,548,2635,76.0,183,CDM,H,H
58,Kylian Mbappé,97,Award Winner  Controlled,3.99M,5,4,99,97,87,99,43,85,106,510,2440,73.0,182,ST,H,L
59,Jude Bellingham,97,Award Winner  Controlled,0,4,5,90,90,94,98,93,94,172,559,2640,75.0,186,CM,H,H
60,Erling Haaland,97,Award Winner  Controlled,690K,4,5,97,97,82,90,61,95,187,522,2457,94.0,195,ST,H,M
61,Robert Lewandowski,97,Award Winner  Controlled,105K,4,5,90,99,86,93,51,90,347,509,2473,81.0,185,ST,H,M
62,Victor Osimhen,97,Award Winner  Controlled,0,4,5,99,97,82,94,55,95,192,522,2461,78.0,185,ST,H,M
63,Bruno Fernandes,97,Shapeshifters  Explosive,40K,5,4,96,93,95,99,75,84,1137,542,2615,69.0,179,LW,H,H
64,Ousmane Dembélé,97,Shapeshifters  Explosive,369K,5,5,97,92,95,99,73,80,1193,536,2557,67.0,178,CAM,H,M
65,Anthony Martial,97,Shapeshifters  Controlled,68.5K,4,5,93,86,98,97,88,96,1065,558,2682,76.0,184,CM,H,H
66,Bastian Schweinsteiger,97,Shapeshifters ICON  Controlled,258K,3,5,90,80,88,86,97,97,1318,538,2576,79.0,183,CB,H,H
67,Paul Pogba,97,Shapeshifters  Lengthy,112K,5,5,95,97,91,95,67,95,1330,540,2592,84.0,191,ST,H,L
68,Raphaël Varane,97,Level Up  Lengthy,0,2,5,93,62,77,86,98,96,669,512,2357,81.0,191,CB,M,H
69,Ángel Di María,97,Futties Premium  Explosive,600K,5,5,97,94,95,98,61,84,694,529,2559,69.0,180,RW,H,M
70,Julián Álvarez,97,Futties  Explosive,400K,5,5,95,97,93,95,65,86,722,531,2554,71.0,173,ST,H,H
71,Roberto Carlos,97,Cover Star Icon  Controlled,397.75K,5,5,97,90,97,92,92,92,4604,560,2691,69.0,168,LB,H,H
72,Ibrahima Konaté,97,Futties Premium  Lengthy,0,3,5,95,50,77,87,97,97,1404,503,2289,95.0,194,CB,M,H
73,Marco Reus,97,Futties  Controlled,60K,5,5,97,93,93,96,73,90,1134,542,2620,71.0,180,CAM,H,M
74,Yaya Touré,97,Futties Hero  Lengthy,942K,4,5,93,94,96,94,95,99,1769,571,2726,90.0,188,CM,H,H
75,Gabriel Jesus,97,Futties  Explosive,170K,5,5,96,94,90,98,53,89,740,520,2507,73.0,175,ST,H,H
76,Al-Owairan,97,Futties Hero  Controlled,310K,5,5,99,94,93,97,52,88,1081,523,2528,76.0,184,RW,H,M
77,Joe Cole,97,Futties Hero SBC  Controlled,0,5,4,97,95,96,98,67,88,1153,541,2586,73.0,176,RW,H,M
78,Wayne Rooney,97,Cover Star Icon SBC  Controlled,1.01M,5,5,96,97,92,94,60,97,992,536,2588,83.0,176,ST,H,M
79,Marcos Llorente,97,Futties SBC  Controlled,330.25K,4,5,97,92,95,96,94,93,3249,567,2672,74.0,184,CM,H,M
80,Jan Oblak,97,Futties  Controlled,24K,2,4,95,98,88,97,57,96,814,531,1056,87.0,188,GK,M,M
81,David Alaba,97,Futties  Controlled,180K,3,5,91,85,96,94,98,94,1014,558,2711,78.0,180,CB,M,H
82,Xabi Alonso,97,Cover Star Icon  Controlled,390.85K,5,5,93,94,98,95,95,94,2774,569,2752,77.0,183,CDM,M,H
83,Alessandro Florenzi,97,Futties Premium  Explosive,29.5K,4,5,95,95,96,98,93,91,865,568,2745,67.0,173,CM,H,M
84,David Ginola,97,Futties Hero  Controlled,170K,5,5,97,96,95,98,65,93,1329,544,2625,83.0,186,LM,H,M
85,Thiago,97,Futties SBC  Explosive,132.7K,5,4,94,92,97,95,85,82,-1107,545,2671,70.0,174,CAM,M,M
86,Mykhailo Mudryk,97,Futties Premium SBC  Explosive,315.65K,5,5,99,94,95,98,56,78,934,520,2466,61.0,175,LW,H,M
87,Sergio Busquets,97,Futties Premium  Controlled,24.25K,4,5,92,90,95,98,96,93,478,564,2671,76.0,189,CDM,M,H
88,Iván Córdoba,97,Futties Hero  Controlled,92.5K,3,5,95,72,75,87,97,96,805,522,2484,70.0,173,CB,M,H
89,Kevin-Prince Boateng,97,Premium SBC  Lengthy,0,5,4,94,95,95,97,88,96,325,565,2715,77.0,186,CAM,H,H
90,Hidetoshi Nakata,97,Futties Hero SBC  Explosive,192.45K,5,5,96,96,95,97,75,76,-121,535,2594,72.0,175,CAM,H,M
91,Iker Casillas,97,Cover Star Icon SBC  Controlled,108.45K,3,5,98,95,91,99,74,96,-167,553,1384,0.0,185,GK,M,H
92,Mason Mount,97,ShowDown SBC  Explosive,174.5K,5,4,94,96,98,98,70,86,-175,542,2601,74.0,180,CAM,H,H
93,Alexis Sánchez,97,Player Moments  Controlled,0,5,4,95,96,96,99,62,91,315,539,2617,62.0,168,LW,H,H
94,Christian Pulisic,97,Dynamic Duos  Explosive,90.85K,5,5,99,94,96,99,51,83,406,522,2515,69.0,177,LW,H,M
95,Yunus Musah,97,Dynamic Duos  Controlled,90.85K,5,5,99,93,92,99,82,90,274,555,2598,73.0,178,RM,H,H
96,Daley Blind,97,Player Moments SBC  Controlled,63.25K,3,5,93,77,97,94,97,92,-976,550,2640,72.0,180,CB,M,H
97,Arthur,97,Player Moments  Controlled,0,5,5,96,91,99,99,93,90,-56,568,2755,73.0,171,CM,H,H
98,Loïs Openda,97,Player Moments SBC  Controlled,118.55K,4,5,99,96,94,97,54,97,-955,537,2531,78.0,174,ST,H,L
99,Axel Disasi,97,Dynamic Duos  Lengthy,139.55K,5,4,94,50,84,94,97,99,241,518,2409,86.0,190,CB,M,H
100,Moisés Caicedo,97,Dynamic Duos  Controlled,139.55K,4,5,95,89,94,95,96,97,-446,566,2682,71.0,178,CM,H,H
101,Ronaldo,96,Icon  Controlled,1.09M,5,5,97,95,81,95,45,76,4365,489,2341,78.0,183,ST,M,M
102,Zinedine Zidane,96,Icon  Controlled,296K,5,5,85,92,96,95,75,86,2187,529,2548,77.0,185,CAM,M,M
103,Pelé,96,World Cup ICON  Explosive,1.42M,5,4,96,94,92,95,58,75,1318,510,2475,70.0,173,CF,H,M
104,Thibaut Courtois,96,TOTY  Controlled,150K,1,3,90,95,85,97,60,95,3347,522,1002,96.0,199,GK,M,M
105,Virgil van Dijk,96,TOTY  Lengthy,550K,2,3,88,65,80,83,97,94,604,507,2400,92.0,193,CB,M,H
106,Luka Modric,96,TOTY  Explosive,147K,4,4,85,86,97,97,85,83,3860,533,2602,66.0,172,CM,M,M
107,Erling Haaland,96,TOTY  Lengthy,260K,4,4,96,96,80,88,60,94,3456,514,2418,94.0,195,ST,H,M
108,Mohamed Salah,96,TOTS  Controlled,88.5K,5,3,96,95,90,97,54,83,1314,515,2469,71.0,175,RW,H,M
109,Rúben Dias,96,TOTS  Lengthy,53.5K,2,4,88,48,83,83,97,97,2658,496,2295,82.0,187,CB,M,H
110,Joshua Kimmich,96,TOTS  Controlled,25K,4,4,86,80,98,92,92,90,2049,538,2585,75.0,177,CDM,H,H
111,Matthijs de Ligt,96,TOTS  Lengthy,74.5K,2,4,90,68,80,83,95,96,1704,512,2391,89.0,189,CB,M,H
112,Cristiano Ronaldo,96,TOTS Moments  Controlled,290K,5,4,94,98,86,94,38,84,7828,494,2399,83.0,187,ST,H,L
113,Neymar Jr,96,TOTS Moments  Explosive,285K,5,5,95,93,92,99,44,71,2274,494,2425,68.0,175,LW,H,M
114,Khvicha Kvaratskhelia,96,TOTS  Controlled,90K,5,5,98,91,92,98,52,82,1678,513,2447,70.0,183,LW,M,M
115,Khvicha Kvaratskhelia,96,Award Winner  Controlled,0,5,5,98,91,92,98,52,82,218,513,2447,70.0,183,LW,M,M
116,Memphis Depay,96,Shapeshifters  Controlled,32.5K,5,4,91,88,97,95,91,93,1287,555,2656,78.0,176,CM,H,M
117,Antonio Rüdiger,96,Shapeshifters  Lengthy,30K,4,5,98,95,86,92,65,94,1587,530,2533,85.0,190,ST,H,H
118,Robin van Persie,96,Shapeshifters ICON  Controlled,17K,4,5,93,96,98,94,75,89,620,545,2612,71.0,183,CAM,H,M
119,Robin van Persie,96,Shapeshifters ICON  Controlled,19.75K,5,4,98,95,88,98,51,78,1309,508,2455,71.0,183,RW,H,M
120,Samuel Eto'o,96,Shapeshifters ICON  Explosive,91.5K,5,5,97,92,92,97,51,84,814,513,2485,75.0,179,RW,H,L
121,Samuel Eto'o,96,Shapeshifters ICON  Explosive,80K,5,5,97,92,92,97,51,84,579,513,2485,75.0,179,LW,H,L
122,Frenkie de Jong,96,Shapeshifters  Controlled,72K,4,5,91,81,93,94,97,93,1269,549,2606,74.0,180,CDM,H,H
123,N'Golo Kanté,96,Premium SBC  Controlled,509K,4,5,90,81,91,90,98,90,-985,540,2553,70.0,168,CDM,M,H
124,Hugo Lloris,96,Shapeshifters  Lengthy,26.25K,4,5,91,87,97,93,93,95,675,556,2698,82.0,188,CM,M,H
125,João Félix,96,Shapeshifters  Controlled,54K,5,5,94,91,94,96,80,86,915,541,2595,70.0,181,CAM,H,M
126,Cavani,96,Level Up Premium Obj  Controlled,0,5,4,92,96,89,94,65,89,958,525,2561,77.0,185,ST,H,H
127,Hakan Çalhanoglu,96,Level Up Obj  Controlled,0,4,5,94,91,97,94,90,89,1259,555,2645,76.0,178,CM,H,H
128,Timo Werner,96,Level Up Obj  Explosive,0,4,5,99,94,90,96,48,82,565,509,2447,76.0,180,ST,H,M
129,Leon Goretzka,96,Level Up  Controlled,180K,3,5,91,91,93,93,91,95,286,554,2625,82.0,189,CM,H,H
130,Gabriel Martinelli,96,Level Up  Explosive,0,5,4,99,90,90,98,71,90,370,538,2553,75.0,178,LM,H,H
131,Aurélien Tchouaméni,96,Level Up  Controlled,0,3,5,93,83,92,91,94,96,447,549,2570,81.0,187,CDM,M,H
132,Diogo Jota,96,Futties  Explosive,0,5,5,96,94,88,96,70,88,1032,532,2552,73.0,178,ST,H,H
133,Heung Min Son,96,Futties Premium SBC  Controlled,574.15K,5,5,96,97,91,97,49,80,3120,510,2441,78.0,183,LW,H,M
134,Joe Gomez,96,Futties  Lengthy,216K,3,5,94,45,86,86,96,96,809,503,2325,77.0,188,CB,M,H
135,Rodrygo,96,Futties SBC  Explosive,371.65K,5,5,99,92,87,98,50,74,2162,500,2444,64.0,174,RW,H,M
136,Kessié,96,Futties Premium  Lengthy,88.5K,4,5,91,88,90,92,93,99,815,553,2615,88.0,183,CDM,H,H
137,Henrikh Mkhitaryan,96,Futties Premium  Controlled,0,5,5,95,94,92,96,74,88,512,539,2602,75.0,177,CAM,H,L
138,Antoine Griezmann,96,Futties  Explosive,109K,5,5,96,94,94,96,78,90,1026,548,2679,73.0,176,ST,H,M
139,Harry Kewell,96,Futties Hero  Controlled,0,5,4,97,96,94,95,70,81,505,533,2564,74.0,180,LW,H,M
140,Tammy Abraham,96,Futties  Lengthy,199.2K,5,4,96,96,90,96,51,93,1589,522,2473,86.0,195,ST,H,M
141,Kalidou Koulibaly,96,Futties Premium SBC  Lengthy,136.1K,2,5,91,42,75,84,96,96,2602,484,2204,89.0,187,CB,M,H
142,Thomas Lemar,96,Futties Premium  Explosive,0,5,5,94,90,94,99,90,84,1037,551,2650,63.0,171,CM,H,H
143,Jules Koundé,96,Futties SBC  Controlled,422.5K,3,3,94,56,85,87,96,91,1610,509,2334,75.0,181,CB,H,H
144,Carvajal,96,Futties  Controlled,96.5K,4,4,96,80,91,92,94,94,694,547,2591,73.0,173,RB,H,M
145,Jadon Sancho,96,Futties  Explosive,66.5K,5,4,97,92,96,98,60,83,662,526,2522,76.0,180,RW,H,M
146,Rayan Cherki,96,Futties SBC  Explosive,154.65K,5,5,94,91,96,96,61,82,-225,520,2486,71.0,176,CAM,H,M
147,Anssumane Fati,96,Futties Premium SBC  Explosive,880.85K,5,5,98,99,91,91,51,83,-2099,513,2508,66.0,178,LW,H,M
148,Jonathan Clauss,96,Futties Premium  Controlled,26.5K,5,4,99,89,91,96,90,90,743,555,2626,69.0,178,RWB,H,H
149,Ryan Gravenberch,96,Futties  Controlled,23.5K,5,4,92,90,95,97,92,92,495,558,2653,79.0,190,CM,H,M
150,Coutinho,96,Futties  Explosive,26K,5,5,91,94,95,98,72,80,631,530,2578,68.0,172,CAM,H,M
151,Antonio Di Natale,96,Futties Hero  Controlled,50K,5,5,97,96,93,98,65,83,841,532,2581,69.0,170,ST,H,M
152,Rui Manuel César Costa,96,Cover Star Icon SBC  Controlled,135.85K,5,4,95,95,96,96,55,91,1666,528,2561,73.0,180,CAM,H,M
153,Andriy Shevchenko,96,Cover Star Icon SBC  Controlled,105.7K,5,4,96,96,94,96,40,92,2124,514,2492,70.0,183,ST,H,H
154,Federico Chiesa,96,Futties Premium  Controlled,0,5,4,99,95,96,98,63,90,746,541,2553,70.0,175,RW,H,M
155,Isco,96,Futties Premium  Explosive,0,5,5,88,90,96,99,80,81,95,534,2601,79.0,176,CAM,M,M
156,Alexandre Lacazette,96,Futties  Controlled,0,5,4,97,94,94,96,57,94,45,532,2564,73.0,175,ST,H,H
157,Ronald Araujo,96,Futties  Lengthy,41K,3,5,94,64,85,85,96,95,1051,519,2399,91.0,192,CB,M,H
158,Jay-Jay Okocha,96,Futties Hero  Explosive,24.75K,5,5,97,94,93,99,51,71,729,505,2461,70.0,173,CAM,H,M
159,Robbie Keane,96,Futties Hero  Controlled,25.75K,4,5,96,97,90,98,56,90,262,527,2516,73.0,175,ST,H,M
160,Maxence Lacroix,96,Futties Premium  Lengthy,0,2,4,96,46,82,86,96,95,1141,501,2298,88.0,190,CB,M,H
161,Fred,96,Futties Premium  Explosive,29.75K,4,5,97,85,95,97,93,90,209,557,2678,62.0,169,CM,H,H
162,Jack Grealish,96,Futties Premium  Controlled,42.5K,5,4,95,94,97,99,55,85,372,525,2452,81.0,180,LW,H,M
163,Leroy Sané,96,Futties Premium  Controlled,0,5,4,99,96,94,97,60,88,357,534,2583,80.0,183,RM,H,M
164,Wlodzimierz Smolarek,96,Futties Hero  Controlled,25K,4,5,98,97,90,97,58,93,408,533,2565,70.0,171,ST,H,M
165,Landon Donovan,96,Futties Hero  Explosive,22K,5,4,98,98,95,97,57,81,169,526,2531,73.0,173,CF,H,M
166,Donald Love,96,Futties Premium  Controlled,0,4,5,96,66,99,95,94,96,523,546,2625,72.0,178,RB,H,H
167,Ricardo Carvalho,96,Futties Hero SBC  Controlled,655.1K,4,5,93,70,89,91,99,93,-763,535,2533,79.0,183,CB,L,H
168,Marko Arnautovic,96,Player Moments  Lengthy,0,5,4,96,98,93,96,57,97,176,537,2574,83.0,192,ST,H,L
169,Marcus Thuram,96,ShowDown SBC  Controlled,128.35K,4,5,99,96,92,97,69,96,-347,549,2577,90.0,192,ST,H,M
170,Ruben Loftus-Cheek,96,ShowDown SBC  Lengthy,78.45K,4,5,94,92,96,97,94,97,116,570,2697,88.0,191,CM,H,H
171,Ayoze Pérez Gutiérrez,96,Player Moments  Controlled,0,5,4,96,93,95,99,86,90,-90,559,2702,72.0,178,RW,H,H
172,Oriol Romeu Vidal,96,Player Moments  Controlled,0,4,4,93,88,91,94,97,96,-20,559,2665,83.0,183,CDM,M,H
173,Brenden Aaronson,96,Player Moments  Explosive,0,5,5,99,92,93,99,77,89,-25,549,2619,66.0,176,CAM,H,H
174,Azpilicueta,96,Player Moments SBC,125K,3,5,93,71,95,93,97,96,-307,545,2623,,178,CB,M,M
175,Pelé,95,Icon  Explosive,400K,5,4,96,93,90,95,56,75,2314,505,2452,69.0,173,CF,H,M
176,Ronaldo,95,World Cup ICON  Controlled,1.39M,5,5,95,94,80,94,46,78,1277,487,2325,78.0,183,ST,M,M
177,Zinedine Zidane,95,World Cup ICON  Controlled,0,5,5,84,91,94,94,73,85,894,521,2516,77.0,185,CAM,M,M
178,Jude Bellingham,95,TOTY  Controlled,110K,4,4,88,88,92,96,90,92,-1057,546,2587,75.0,186,CM,H,H
179,Ronaldinho,95,TOTY Icon  Controlled,1.9M,5,4,94,91,92,97,38,83,4394,495,2369,78.0,180,LW,H,L
180,Müller,95,TOTY Icon  Controlled,70.5K,4,4,89,95,79,90,45,78,1629,476,2326,74.0,176,ST,H,M
181,Ferenc Puskás,95,Controlled,145K,4,5,89,97,93,93,48,78,3041,498,2434,72.0,172,CF,H,M
182,Paolo Maldini,95,Lengthy,0,5,4,87,57,77,72,97,87,1880,477,2195,83.0,186,CB,M,H
183,Alessandro Del Piero,95,Trophy Titans - ICON  Explosive,20K,5,5,89,95,92,95,46,72,1752,489,2367,74.0,174,CF,H,M
184,Franco Baresi,95,Trophy Titans - ICON  Controlled,42.5K,2,3,84,51,80,74,97,86,1094,472,2233,70.0,176,CB,M,H
185,Xavier Hernández,95,Trophy Titans - ICON  Controlled,51K,4,4,84,82,97,95,76,78,887,512,2473,67.0,170,CM,H,H
186,Marco van Basten,95,Trophy Titans - ICON  Controlled,19.75K,3,5,88,96,78,92,41,82,1489,477,2333,78.0,188,ST,M,M
187,Bernardo Silva,95,TOTS  Explosive,69.5K,4,4,89,86,93,99,72,81,1295,520,2479,64.0,173,CM,H,H
188,Alexis Sánchez,95,TOTS  Controlled,21K,4,4,93,93,94,99,59,87,2058,525,2550,62.0,168,ST,H,M
189,Marcus Rashford,95,TOTS  Controlled,188K,5,4,99,95,92,95,56,89,2070,526,2525,70.0,186,LW,H,M
190,Harry Kane,95,TOTS  Lengthy,29K,3,5,90,98,92,90,53,92,3620,515,2483,89.0,188,ST,H,H
191,Christopher Nkunku,95,TOTS  Explosive,20.75K,5,5,97,91,93,97,77,81,1355,536,2538,73.0,175,CF,H,M
192,Sadio Mané,95,TOTS Moments  Explosive,35K,5,4,96,90,89,94,51,85,878,505,2431,69.0,174,ST,H,M
193,Leon Goretzka,95,TOTS Moments  Controlled,19.75K,3,5,90,90,92,91,90,93,1778,546,2584,82.0,189,CM,H,H
194,Éder Militão,95,TOTS  Controlled,150K,2,3,91,61,82,85,97,93,573,509,2400,78.0,186,CB,M,H
195,Pedri,95,TOTS  Controlled,44.25K,5,5,92,83,92,95,84,89,1490,535,2523,61.0,174,CM,H,H
196,Vinícius Júnior,95,TOTS  Explosive,360K,5,5,99,90,89,98,41,81,1877,498,2364,73.0,176,LW,H,M
197,Alexandre Lacazette,95,TOTS  Controlled,19K,5,4,96,92,92,95,56,92,1266,523,2514,73.0,175,ST,H,H
198,Marquinhos,95,TOTS  Controlled,25.75K,3,3,90,64,84,84,95,90,1187,507,2365,75.0,183,CB,M,H
199,Nicolò Barella,95,TOTS  Controlled,32.5K,4,4,90,88,95,93,92,92,1174,550,2666,68.0,172,CM,H,H
200,Lautaro Martínez,95,TOTS  Controlled,32K,4,4,95,95,85,94,56,93,1040,518,2509,72.0,174,ST,H,M
201,Paulo Dybala,95,TOTS  Explosive,48.25K,4,4,92,95,95,99,48,73,1013,502,2475,75.0,177,CF,H,L
202,Christopher Nkunku,95,Award Winner  Explosive,0,5,5,97,91,93,97,77,81,221,536,2538,73.0,175,CF,H,M
203,Sergio Busquets,95,Premium SBC  Controlled,229.75K,4,4,87,87,93,95,94,91,6343,547,2589,76.0,189,CDM,M,H
204,Jota,95,TOTS  Explosive,18.5K,5,4,99,90,92,98,58,81,950,518,2474,67.0,175,RW,H,M
205,Jordi Alba Ramos,95,Premium SBC  Explosive,161.75K,4,4,95,83,92,93,90,88,3731,541,2593,68.0,170,LB,H,H
206,Dayot Upamecano,95,Shapeshifters SBC  Controlled,349.8K,5,4,95,92,94,93,75,96,2024,545,2604,90.0,186,CAM,H,M
207,Riyad Mahrez,95,Shapeshifters  Explosive,31K,5,5,95,97,91,95,45,77,1572,500,2415,67.0,179,ST,H,M
208,Sócrates,95,Shapeshifters ICON  Controlled,24.75K,4,5,91,87,96,95,93,94,2235,556,2668,79.0,192,CM,H,H
209,Frank Rijkaard,95,Shapeshifters ICON  Lengthy,20.5K,5,4,93,96,88,92,71,94,1316,534,2541,85.0,187,ST,H,M
